query_id,request_id,query_words,relevant_docs,bm25_ndcg10,first_ndcg10,prp_ndcg10,first_minus_bm25,first_minus_prp,bucket
PLAIN-2910,nfcorpus-PLAIN-2910,3,15,0.20436662668128655,0.20436662668128655,0.20436662668128655,0.0,0.0,tie
PLAIN-2920,nfcorpus-PLAIN-2920,4,7,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2930,nfcorpus-PLAIN-2930,5,14,0.36077903708155934,0.36077903708155934,0.36077903708155934,0.0,0.0,tie
PLAIN-2940,nfcorpus-PLAIN-2940,5,22,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2950,nfcorpus-PLAIN-2950,4,2,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2960,nfcorpus-PLAIN-2960,10,2,0.3273949503887395,0.38009376671593426,0.7601875334318685,0.05269881632719475,-0.38009376671593426,gain
PLAIN-2970,nfcorpus-PLAIN-2970,4,9,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2981,nfcorpus-PLAIN-2981,4,7,0.5030904516575294,0.5030904516575294,0.5146297957850003,0.0,-0.01153934412747093,tie
PLAIN-2991,nfcorpus-PLAIN-2991,5,2,0.3065735963827292,0.38685280723454163,0.38685280723454163,0.08027921085181244,0.0,gain
PLAIN-3001,nfcorpus-PLAIN-3001,4,2,0.23719771276929622,0.6131471927654584,0.38685280723454163,0.37594947999616213,0.22629438553091674,gain
PLAIN-3014,nfcorpus-PLAIN-3014,6,1,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-3026,nfcorpus-PLAIN-3026,3,1,0.0,0.6309297535714575,0.5,0.6309297535714575,0.13092975357145753,gain
PLAIN-3037,nfcorpus-PLAIN-3037,7,4,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-3053,nfcorpus-PLAIN-3053,2,3,0.7653606369886217,0.7653606369886217,0.7653606369886217,0.0,0.0,tie
PLAIN-3063,nfcorpus-PLAIN-3063,4,4,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-3074,nfcorpus-PLAIN-3074,7,1,1.0,1.0,1.0,0.0,0.0,tie
PLAIN-3085,nfcorpus-PLAIN-3085,9,2,0.6509209298071326,0.8503449055347546,0.5012658353418871,0.19942397572762205,0.34907907019286755,gain
PLAIN-3097,nfcorpus-PLAIN-3097,4,4,0.4770382338730848,0.4770382338730848,0.4770382338730848,0.0,0.0,tie
PLAIN-3116,nfcorpus-PLAIN-3116,6,1,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-3131,nfcorpus-PLAIN-3131,5,6,0.12264830928602341,0.36794492785807026,0.36794492785807026,0.24529661857204685,0.0,gain
PLAIN-3141,nfcorpus-PLAIN-3141,5,34,0.0866178136927642,0.1890570933316362,0.1890570933316362,0.102439279638872,0.0,gain
